Position Date Time,Longitude,Latitude,Heading,Average Speed
01/01/2023 12:00:00 AM,1.0,-0.1162039080095045,0,0
01/01/2023 12:01:00 AM,0.9993908270190958,0.1650847028030305,179,1165
01/01/2023 12:02:00 AM,0.9975640502598242,0.1645795067153826,74,7
01/01/2023 12:03:00 AM,0.9945218953682732,0.1423949230895993,7,92
01/01/2023 12:04:00 AM,0.9902680687415704,0.0248676929825229,2,487
01/01/2023 12:05:00 AM,0.984807753012208,0.2740198016633201,178,1032
01/01/2023 12:06:00 AM,0.9781476007338056,0.253626335166271,18,88
01/01/2023 12:07:00 AM,0.9702957262759964,0.4193896105224332,177,687
01/01/2023 12:08:00 AM,0.9612616959383188,0.2987854035878641,4,501
01/01/2023 12:09:00 AM,0.9510565162951536,0.357304737431881,170,246
01/01/2023 12:10:00 AM,0.9396926207859084,0.3233957926432831,18,148
01/01/2023 12:11:00 AM,0.9271838545667874,0.3248479512880392,96,52
01/01/2023 12:12:00 AM,0.9135454576426008,0.3122388651008696,47,76
01/01/2023 12:13:00 AM,0.898794046299167,0.4199169510217723,172,450
01/01/2023 12:14:00 AM,0.882947592858927,0.5084146978353405,169,372
01/01/2023 12:15:00 AM,0.8660254037844387,0.4301920456613222,12,331
01/01/2023 12:16:00 AM,0.848048096156426,0.7353110823614442,176,1266
01/01/2023 12:17:00 AM,0.8290375725550416,0.2635634800120452,2,1955
01/01/2023 12:18:00 AM,0.8090169943749475,0.404254568493951,171,588
01/01/2023 12:19:00 AM,0.7880107536067219,0.4655738898954683,161,268
01/01/2023 12:20:00 AM,0.766044443118978,0.3674259820753592,12,416
01/01/2023 12:21:00 AM,0.7431448254773942,0.6924157417309592,175,1349
01/01/2023 12:22:00 AM,0.7193398003386512,0.7765102906897037,164,362
01/01/2023 12:23:00 AM,0.6946583704589973,0.5779127433506231,7,829
01/01/2023 12:24:00 AM,0.6691306063588582,0.5974579161440758,127,133
01/01/2023 12:25:00 AM,0.6427876096865394,0.7964525548440652,172,831
01/01/2023 12:26:00 AM,0.6156614753256583,0.8169483384185471,127,140
01/01/2023 12:27:00 AM,0.5877852522924731,0.6129035000237093,7,853
01/01/2023 12:28:00 AM,0.5591929034707468,0.7977354706933505,171,774
01/01/2023 12:29:00 AM,0.5299192642332049,0.7650739215414784,41,181
01/01/2023 12:30:00 AM,0.5000000000000001,0.8529431327799075,161,384
01/01/2023 12:31:00 AM,0.4694715627858908,0.9207628492487744,155,308
01/01/2023 12:32:00 AM,0.4383711467890774,0.8345728621833719,19,379
01/01/2023 12:33:00 AM,0.4067366430758002,0.8047288463102727,46,180
01/01/2023 12:34:00 AM,0.3746065934159119,1.1187022959927757,174,1307
01/01/2023 12:35:00 AM,0.3420201433256688,1.169665993804623,147,250
01/01/2023 12:36:00 AM,0.3090169943749474,0.9562846066114749,8,894
01/01/2023 12:37:00 AM,0.2756373558169991,0.8366967014502784,15,514
01/01/2023 12:38:00 AM,0.2419218955996676,0.9538283156710834,163,504
01/01/2023 12:39:00 AM,0.2079116908177594,0.7073037260500863,7,1030
01/01/2023 12:40:00 AM,0.1736481776669304,0.8326197897479015,164,538
01/01/2023 12:41:00 AM,0.1391731009600654,0.8639312204129874,132,192
